numero;Nome;CP4;CP3;Rua;contacto;NIF;email;DataNasc;genero;tipoutilizador
77;Angelina Duarte99;4487;160;Rua Nova da Fonte;914151332;173030228;wuvel@ipca.pt;25/05/1975;F;2
3;Rui Machado;4960;;Rua Nova da Gândara;910578565;276061902;bikoj@ipca.pt;08/02/1958;M;2
79;Vera Barbosa;4826;512;Rua Nova de Padrão;915945840;287342765;kavoq@ipca.pt;18/08/1998;F;2
61;Pedro Vilaça;4631;500;Rua Padre Francisco Xavier Leite Fragoa;91356325;30593133;qumuxipca.pt;22/09/1952;M;2
73;Marta Dias;4086;117;Rua Padre Luís Soares Ribeiro;910976807;170184632;tuwes@ipca.pt;11/02/1981;F;2
37;Sandrina Cunha;4390;120;Rua Porto Carreiro;913437634;295936604;wipom@ipca.pt;25/01/1985;F;4
22;Paulo Lourenço;4761;160;Rua Quinta de Sampaio;960491633;294833454;mafal@ipca.pt;14/05/1954;M;2
62;Rui Rodrigues;4508;300;Rua Senhor dos Passos;96417292;239906433;xugep@ipca.pt;03/11/1993;M;2
18;Lucília Esteves;4783;512;Travessa da Bouça da Pêga;964467572;155210415;keseg@ipca.pt;15/05/1975;F;2
;Carla Silva;4222;500;Travessa da Cruz;960550;140282828;cumon@ipca.pt;28/10/1958;F;2
61;Carla Veiga;3939;117;Travessa da Fonte;961215163;25290319;likup@ipca.pt;26/03/1956;F;2
61;Raquel Ferreira;4680;10;Travessa da Lagoa;960538715;176656349;josif@ipca.pt;09/10/1969;F;2
65;Sandra Taveira;4621;160;Travessa da Lerdeira;96519131;240671373;mokip@ipca.pt;23/08/1973;F;2
;Joaquim Vilaça;3806;512;Travessa de Burgueiros;966495220;20093326;nezuk@ipca.pt;01/08/1981;M;4
66;Ângela Oliveira;4695;512;;968593287;158296876;bojif@ipca.pt;25/01/1995;M;2
2;Hélder Ribeiro;4537;500;Travessa de Larim;966536581;287229289;bociw@ipca.pt;09/09/1959;M;2
8;Elisabete Barbosa;4907;117;Travessa de Sampaio;961761813;287229289;ipca.pt;29/06/1959;F;2
8;Arte de Limpar;4701;12;Travessa do Casal;964783950;52842561;tujul@ipca.pt;;-;3
67;Brilho e Lustro;4490;160;Travessa do Couto;969699982;519824273;fatak@ipca.pt;;-;3
57;Casa Clean;4030;300;Travessa do Santuário do Alívio;967510783;5292791;qexow@ipca.pt;;-;3
41;Dona Faxina;3805;512;Travessa do Souto;969338557;506916984;tofon@ipca.pt;;-;3
53;Help Limpeza;3970;500;Travessa Nova de Fontelo;96655123;508336451;tesog@ipca.pt;;-;3
47;Limp Lar;3960;111;Travessia do Calvário;965419916;518223052;bibid@ipca.pt;;-;4
13;Safe Protect;4209;300;Avenida Carreira da Torre;966115900;525559061;kisif@ipca.pt;;-;3
;Safe Segurança Privada;4882;343;Avenida da Cruz;969442059;52329748;vidal@ipca.pt;;-;3
22;Vip Protect;4249;12;Avenida de Larim;96080973;518557695;lebem@ipca.pt;;-;3
19;Protech;4613;44;Avenida de Larim;928723005;5168120;sosov@ipca;;-;3
59;Serviço de restauração do Cloud Nine Flood;4041;123;Avenida do Casal;929886823;525377601;nabug@ipca.pt;;-;3
36;Restauração 911;4455;6;Avenida Viscondes da Torre;9280032;503423033;@ipca.pt;;-;3
14;Restauração de água americana;4641;451;Calçada da Cruz;925439333;528231756;nunoz@ipca.pt;;-;3
